Ortsnetzkennzahl,Ortsnetzname,Bundesland,PLZ
00494681,Wyk auf Föhr,Schleswig-Holstein,25938; 25938; 25938; 25938; 25938; 25938
00494682,Amrum,Schleswig-Holstein,25946; 25946
00494683,Oldsum,Schleswig-Holstein,25938; 25938; 25938; 25938; 25938; 25938
00494684,Langeneß Hallig,Schleswig-Holstein,25863
00494702,Sandstedt,Niedersachsen,27628
00494703,Loxstedt-Donnern,Niedersachsen,NA
00494704,Drangstedt,Niedersachsen,27624; 27624
00494705,Wremen,Niedersachsen,27638
00494706,Schiffdorf,Niedersachsen,27619
00494707,Langen-Neuenwalde,Niedersachsen,NA
00494708,Ringstedt,Niedersachsen,27624; 27624; 27624
0049471,Bremerhaven,Bremen,27568; 27570; 27572; 27574; 27576; 27578; 27580
00494721,Cuxhaven,Niedersachsen,27472; 27474; 27476; 27478; 27499; 27499
00494722,Cuxhaven-Altenbruch,Niedersachsen,NA
00494723,Cuxhaven-Altenwalde,Niedersachsen,NA
00494724,Cuxhaven-Lüdingworth,Niedersachsen,NA
00494725,Helgoland,Schleswig-Holstein,27498
00494731,Nordenham,Niedersachsen,26954
00494732,Stadland-Rodenkirchen,Niedersachsen,NA
00494733,Butjadingen-Burhave,Niedersachsen,26969
00494734,Stadland-Seefeld,Niedersachsen,26935; 26936; 26937
00494735,Butjadingen-Stollhamm,Niedersachsen,NA
00494736,Butjadingen-Tossens,Niedersachsen,NA
00494737,Stadland-Schwei,Niedersachsen,NA
00494740,Loxstedt-Dedesdorf,Niedersachsen,NA
00494741,Nordholz b Bremerhaven,Niedersachsen,27632; 27632; 27637
00494742,Dorum,Niedersachsen,27632; 27632; 27632; 27632
00494743,Langen b Bremerhaven,Niedersachsen,27607
00494744,Loxstedt,Niedersachsen,27612
00494745,Bad Bederkesa,Niedersachsen,27624; 27624; 27624
00494746,Hagen b Bremerhaven,Niedersachsen,27628; 27628; 27628; 27628
00494747,Beverstedt,Niedersachsen,27616; 27616; 27616; 27616
00494748,Stubben b Bremerhaven,Niedersachsen,27729; 27616; 27616; 27729; 27616; 27616
00494749,Schiffdorf-Geestenseth,Niedersachsen,27616
00494751,Otterndorf,Niedersachsen,21763; 21762; 21762
00494752,Neuhaus Oste,Niedersachsen,21785; 21784; 21785
00494753,Balje,Niedersachsen,21730; 21734; 21734; 21732
00494754,Bülkau,Niedersachsen,21782
00494755,Ihlienworth,Niedersachsen,21775
00494756,Odisheim,Niedersachsen,21775; 21775; 21772
00494757,Wanna,Niedersachsen,21776
00494758,Nordleda,Niedersachsen,21765
00494761,Bremervörde,Niedersachsen,27432
00494762,Kutenholz,Niedersachsen,21698; 27446; 27449
00494763,Gnarrenburg,Niedersachsen,27442
00494764,Gnarrenburg-Klenkendorf,Niedersachsen,27446
00494765,Ebersdorf b Bremervörde,Niedersachsen,27432; 27432; 27432
00494766,Basdahl,Niedersachsen,27432
00494767,Bremervörde-Bevern,Niedersachsen,NA
00494768,Hipstedt,Niedersachsen,27432
00494769,Bremervörde-Iselersheim,Niedersachsen,NA
00494770,Wischhafen,Niedersachsen,21737
00494771,Hemmoor,Niedersachsen,21745
00494772,Oberndorf Oste,Niedersachsen,21787
00494773,Lamstedt,Niedersachsen,21769; 21769; 21769; 21770
00494774,Hechthausen,Niedersachsen,21755
00494775,Grossenwörden,Niedersachsen,21712
00494776,Osten-Altendorf,Niedersachsen,21756
00494777,Cadenberge,Niedersachsen,21781
00494778,Wingst,Niedersachsen,21789
00494779,Freiburg Elbe,Niedersachsen,21729; 21734
00494791,Osterholz-Scharmbeck,Niedersachsen,27711
00494792,Worpswede,Niedersachsen,27726
00494793,Hambergen,Niedersachsen,27729; 27729; 27729
00494794,Worpswede-Ostersode,Niedersachsen,27726
00494795,Garlstedt,Niedersachsen,NA
00494796,Teufelsmoor,Niedersachsen,NA
00494802,Wrohm,Schleswig-Holstein,25786; 25767; 25799
00494803,Pahlen,Schleswig-Holstein,25788; 25794; 25794; 25794; 25788
00494804,Nordhastedt,Schleswig-Holstein,25785
00494805,Schafstedt,Schleswig-Holstein,25725; 25725
00494806,Sarzbüttel,Schleswig-Holstein,25785; 25785
0049481,Heide Holst,Schleswig-Holstein,25746; 25770; 25770; 25746; 25746; 25746; 25746
00494821,Itzehoe,Schleswig-Holstein,25524; 25578; 25524; 25524; 25569; 25524; 25524; 25569; 25524; 25588
00494822,Kellinghusen,Schleswig-Holstein,25548; 25563; 25597; 25563; 25563; 25548; 25597; 25548; 25548; 25563; 25548; 25551; 25548; 25548; 25563; 25563
00494823,Wilster,Schleswig-Holstein,25554; 25554; 25573; 25554; 25554; 25554; 25554; 25554; 25554; 25554; 25554; 25594; 25554
00494824,Krempe,Schleswig-Holstein,25569; 25376; 25361; 25361; 25361; 25376; 25361; 25569; 25361; 25578; 25361
00494825,Burg Dithmarschen,Schleswig-Holstein,25572; 25712; 25712; 25572; 25712; 25712; 25572; 25572
00494826,Hohenlockstedt,Schleswig-Holstein,25551; 25551; 25551; 25551
00494827,Wacken,Schleswig-Holstein,25557; 25584; 25596; 25596; 25584; 25588; 25588; 25596; 25594; 25594; 25596
00494828,Lägerdorf,Schleswig-Holstein,25524; 25597; 25566; 25597; 25587; 25566; 25597
00494829,Wewelsfleth,Schleswig-Holstein,25573; 25576; 25599
00494830,Süderhastedt,Schleswig-Holstein,25721; 25727; 25727; 25727
00494832,Meldorf,Schleswig-Holstein,25704; 25704; 25704; 25704; 25704; 25704; 25704
00494833,Wesselburen,Schleswig-Holstein,25761; 25764; 25764; 25764; 25764; 25764; 25764; 25764; 25764; 25764; 25764
00494834,Büsum,Schleswig-Holstein,25761; 25761; 25761; 25761; 25761
00494835,Albersdorf Holst,Schleswig-Holstein,25767; 25767; 25767; 25767; 25767; 25767; 25782; 25767; 25767
00494836,Hennstedt Dithm,Schleswig-Holstein,25791; 25779; 25779; 25779; 25779; 25779; 25788; 25779; 25791; 25779; 25779; 25779; 25779
00494837,Neuenkirchen Dithm,Schleswig-Holstein,25774; 25792; 25795; 25792; 25795
00494838,Tellingstedt,Schleswig-Holstein,25782; 25782; 25782; 25782; 25782; 25782; 25782
00494839,Wöhrden Dithm,Schleswig-Holstein,25764; 25797
00494841,Husum Nordsee,Schleswig-Holstein,24392; 25813; 25875; 25813; 25813; 25813
00494842,Nordstrand,Schleswig-Holstein,25845; 25845; 25845
00494843,Viöl,Schleswig-Holstein,25850; 25853; 25850; 25855; 25885; 25864; 25884; 25884; 25884
00494844,Pellworm,Schleswig-Holstein,25849; 25849
00494845,Ostenfeld Husum,Schleswig-Holstein,25872; 25887; 25872
00494846,Hattstedt,Schleswig-Holstein,25853; 25860; 25856; 25856; 25860; 25860; 25856
00494847,Oster-Ohrstedt,Schleswig-Holstein,25885; 25885; 25885
00494848,Rantrum,Schleswig-Holstein,25873; 25873
00494849,Hooge,Schleswig-Holstein,25859
00494851,Marne,Schleswig-Holstein,25709; 25709; 25709; 25709; 25724; 25715; 25724
00494852,Brunsbüttel,Schleswig-Holstein,25541
00494853,Sankt Michaelisdonn,Schleswig-Holstein,25712; 25693; 25693
00494854,Friedrichskoog,Schleswig-Holstein,25718
00494855,Eddelak,Schleswig-Holstein,25715; 25715; 25715; 25712
00494856,Kronprinzenkoog,Schleswig-Holstein,25709; 25709; 25724
00494857,Barlt,Schleswig-Holstein,25719; 25719; 25693; 25693
00494858,Sankt Margarethen Holst,Schleswig-Holstein,25572; 25572; 25572; 25572
00494859,Windbergen,Schleswig-Holstein,25693; 25729
00494861,Tönning,Schleswig-Holstein,25832; 25866; 25832
00494862,Garding,Schleswig-Holstein,25836; 25836; 25836; 25836; 25881; 25882; 25881; 25836; 25836
00494863,Sankt Peter-Ording,Schleswig-Holstein,25946; 25826
00494864,Oldenswort,Schleswig-Holstein,25870; 25870; 25889; 25889
00494865,Osterhever,Schleswig-Holstein,25836; 25836; 25881
00494871,Hohenwestedt,Schleswig-Holstein,24594; 24594; 24594; 24594; 24594; 24594; 24594; 25551; 24594; 24594
00494872,Hanerau-Hademarschen,Schleswig-Holstein,25557; 25557; 25725; 25557; 25557; 25585; 25557; 25557; 25557; 25585; 25557
00494873,Aukrug,Schleswig-Holstein,24613; 24594; 24613
00494874,Todenbüttel,Schleswig-Holstein,25575; 24819; 24819; 25590; 24819
00494875,Stafstedt,Schleswig-Holstein,24816; 24819; 24816; 24816; 24816
00494876,Reher Holst,Schleswig-Holstein,25551; 25593
00494877,Hennstedt b Itzehoe,Schleswig-Holstein,25579; 25581; 25551; 24594; 25581; 25579
00494881,Friedrichstadt,Schleswig-Holstein,25878; 25840; 25840; 25840; 25840; 25878; 25813; 25840
00494882,Lunden,Schleswig-Holstein,25774; 25776; 25774; 25774; 25774; 25776; 25774; 25776; 25776; 25779; 25776
00494883,Süderstapel,Schleswig-Holstein,25868; 25868; 25879
00494884,Schwabstedt,Schleswig-Holstein,25876; 25876; 25876; 25876; 25876; 25876
00494885,Bergenhusen,Schleswig-Holstein,24861; 24861; 24861; 24861; 24861; 24899
00494892,Schenefeld Mittelholst,Schleswig-Holstein,25560; 25560; 25560; 25593; 25560; 25560; 25582; 25560; 25560; 25560; 25560; 25560; 25560
00494893,Hohenaspe,Schleswig-Holstein,25582; 25582; 25582; 25591
00494902,Jemgum-Ditzum,Niedersachsen,NA
00494903,Wymeer,Niedersachsen,26831; 26831
0049491,Leer Ostfriesland,Niedersachsen,26789
00494920,Wirdum,Niedersachsen,26529
00494921,Emden Stadt,Niedersachsen,26721; 26723; 26725
00494922,Borkum,Niedersachsen,26757
00494923,Krummhörn-Pewsum,Niedersachsen,26736
00494924,Moormerland-Oldersum,Niedersachsen,NA
00494925,Hinte,Niedersachsen,26759; 26759
00494926,Krummhörn-Greetsiel,Niedersachsen,NA
00494927,Krummhörn-Loquard,Niedersachsen,NA
00494928,Ihlow-Riepe,Niedersachsen,NA
00494929,Ihlow Kr Aurich,Niedersachsen,26632
00494931,Norden,Niedersachsen,26524; 26506; 26529
00494932,Norderney,Niedersachsen,26548
00494933,Dornum Ostfriesl,Niedersachsen,26553
00494934,Marienhafe,Niedersachsen,26524; 26529; 26529; 26529
00494935,Juist,Niedersachsen,26571
00494936,Grossheide,Niedersachsen,26524; 26532; 26529
00494938,Hagermarsch,Niedersachsen,26524; 26524
00494939,Baltrum,Niedersachsen,26579
00494941,Aurich,Niedersachsen,26603; 26605; 26607
00494942,Südbrookmerland,Niedersachsen,26624
00494943,Grossefehn,Niedersachsen,26629
00494944,Wiesmoor,Niedersachsen,26639
00494945,Grossefehn-Timmel,Niedersachsen,NA
00494946,Grossefehn-Bagband,Niedersachsen,26835; 26835
00494947,Aurich-Ogenbargen,Niedersachsen,NA
00494948,Wiesmoor-Marcardsmoor,Niedersachsen,NA
00494950,Holtland,Niedersachsen,26835; 26835; 26835; 26845
00494951,Weener,Niedersachsen,26826
00494952,Rhauderfehn,Niedersachsen,26842; 26817
00494953,Bunde,Niedersachsen,26831; 26831
00494954,Moormerland,Niedersachsen,26802
00494955,Westoverledingen,Niedersachsen,26810
00494956,Uplengen,Niedersachsen,26835; 26670
00494957,Detern,Niedersachsen,26847; 26849
00494958,Jemgum,Niedersachsen,26844
00494959,Dollart,Niedersachsen,26831
00494961,Papenburg,Niedersachsen,26871
00494962,Papenburg-Aschendorf,Niedersachsen,26871; 26892
00494963,Dörpen,Niedersachsen,26906; 26892; 26892; 26892; 26907
00494964,Rhede Ems,Niedersachsen,26899
00494965,Surwold,Niedersachsen,26903
00494966,Neubörger,Niedersachsen,26909; 26892
00494967,Rhauderfehn-Burlage,Niedersachsen,26897
00494968,Neulehe,Niedersachsen,26909
00494971,Esens,Niedersachsen,26427; 26427
00494972,Langeoog,Niedersachsen,26465
00494973,Wittmund-Burhafe,Niedersachsen,NA
00494974,Neuharlingersiel,Niedersachsen,26427; 26427; 26427; 26427
00494975,Westerholt Ostfriesl,Niedersachsen,26556; 26556; 26556; 26556; 26556
00494976,Spiekeroog,Niedersachsen,26474
00494977,Blomberg Ostfriesl,Niedersachsen,26487; 26427; 26487; 26489
00495021,Nienburg Weser,Niedersachsen,31608; 31582
00495022,Wietzen,Niedersachsen,31609; 27333; 31613
00495023,Liebenau Kr Nieburg Weser,Niedersachsen,31619; 31618
00495024,Rohrsen Kr Nienburg Weser,Niedersachsen,31623; 31626; 31622; 31627
00495025,Estorf Weser,Niedersachsen,31629; 31628
00495026,Steimbke,Niedersachsen,31634; 31638
00495027,Linsburg,Niedersachsen,31632; 31636
00495028,Pennigsehl,Niedersachsen,31621
00495031,Wunstorf,Niedersachsen,31515
00495032,Neustadt am Rübenberge,Niedersachsen,31535
00495033,Wunstorf-Grossenheidorn,Niedersachsen,31558
00495034,Neustadt-Hagen,Niedersachsen,NA
00495035,Gross Munzel,Niedersachsen,NA
00495036,Neustadt-Schneeren,Niedersachsen,NA
00495037,Bad Rehburg,Niedersachsen,31556
00495041,Springe Deister,Niedersachsen,31832
00495042,Bad Münder am Deister,Niedersachsen,31848
00495043,Lauenau,Niedersachsen,31552; 31867; 31867; 31867
00495044,Springe-Eldagsen,Niedersachsen,NA
00495045,Springe-Bennigsen,Niedersachsen,NA
00495051,Bergen Kr Celle,Niedersachsen,29303
00495052,Hermannsburg,Niedersachsen,29320
00495053,Faßberg-Müden,Niedersachsen,NA
00495054,Bergen-Sülze,Niedersachsen,29303; 29303
00495055,Fassberg,Niedersachsen,29328
00495056,Winsen-Meissendorf,Niedersachsen,NA
00495060,Bodenburg,Niedersachsen,31079; 31079; 31196
00495062,Holle b Hildesheim,Niedersachsen,31188
00495063,Bad Salzdetfurth,Niedersachsen,31162
00495064,Groß Düngen,Niedersachsen,NA
00495065,Sibbesse,Niedersachsen,31079; 31079; 31079
00495066,Sarstedt,Niedersachsen,31157
00495067,Bockenem,Niedersachsen,31167
00495068,Elze Leine,Niedersachsen,31008
00495069,Nordstemmen,Niedersachsen,31171
00495071,Schwarmstedt,Niedersachsen,29690; 29690; 29690; 29693; 29690
00495072,Neustadt-Mandelsloh,Niedersachsen,NA
00495073,Neustadt-Esperke,Niedersachsen,29690
00495074,Rodewald,Niedersachsen,31637
00495082,Langlingen,Niedersachsen,29364
00495083,Hohne b Celle,Niedersachsen,29362; 29369
00495084,Hambühren,Niedersachsen,29313
00495085,Burgdorf-Ehlershausen,Niedersachsen,29352
00495086,Celle-Scheuen,Niedersachsen,29229
00495101,Pattensen,Niedersachsen,30982
00495102,Laatzen,Niedersachsen,30880
00495103,Wennigsen Deister,Niedersachsen,30974
00495105,Barsinghausen,Niedersachsen,30890
00495108,Gehrden Han,Niedersachsen,18461; 30989
00495109,Ronnenberg,Niedersachsen,30952
0049511,Hannover,Niedersachsen,30159; 30161; 30163; 30165; 30167; 30169; 30171; 30173; 30175; 30177; 30179; 30419; 30449; 30451; 30453; 30455; 30457; 30459; 30519; 30521; 30539; 30559; 30625; 30627; 30629; 30655; 30657; 30659; 30669; 30966; 30851; 30853; 30855
00495121,Hildesheim,Niedersachsen,31199; 31180; 31134; 31135; 31137; 31139; 31141
00495123,Schellerten,Niedersachsen,31174
00495126,Algermissen,Niedersachsen,31191
00495127,Harsum,Niedersachsen,31177
00495128,Hohenhameln,Niedersachsen,31249
00495129,Söhlde,Niedersachsen,31185
00495130,Wedemark,Niedersachsen,30900
00495131,Garbsen,Niedersachsen,30823; 30826; 30827
00495132,Lehrte,Niedersachsen,31275
00495135,Burgwedel-Fuhrberg,Niedersachsen,NA
00495136,Burgdorf Kr Hannover,Niedersachsen,31303
00495137,Seelze,Niedersachsen,30926
00495138,Sehnde,Niedersachsen,31319
00495139,Burgwedel,Niedersachsen,30938; 30916
00495141,Celle,Niedersachsen,29221; 29223; 29225; 29227; 29229
00495142,Eschede,Niedersachsen,29348; 29359; 29348
00495143,Winsen Aller,Niedersachsen,29308
00495144,Wathlingen,Niedersachsen,29356; 29358; 29336; 29339
00495145,Beedenbostel,Niedersachsen,29353; 29355; 29361; 29331
00495146,Wietze,Niedersachsen,29323
00495147,Uetze-Hänigsen,Niedersachsen,NA
00495148,Steinhorst Niedersachs,Niedersachsen,29351; 29367
00495149,Wienhausen,Niedersachsen,29342
00495151,Hameln,Niedersachsen,31785; 31787; 31789
00495152,Hessisch Oldendorf,Niedersachsen,31840
00495153,Salzhemmendorf,Niedersachsen,31020
00495154,Aerzen,Niedersachsen,31855
00495155,Emmerthal,Niedersachsen,31860
00495156,Coppenbrügge,Niedersachsen,31863
00495157,Emmerthal-Börry,Niedersachsen,NA
00495158,Hemeringen,Niedersachsen,NA
00495159,Coppenbrügge-Bisperode,Niedersachsen,NA
00495161,Walsrode,Niedersachsen,29699; 29664
00495162,Fallingbostel,Niedersachsen,29683
00495163,Fallingbostel-Dorfmark,Niedersachsen,29683; 29683
00495164,Hodenhagen,Niedersachsen,29693; 29693; 29693; 29690; 29693
00495165,Rethem Aller,Niedersachsen,27336; 27336; 27336
00495166,Walsrode-Kirchboitzen,Niedersachsen,NA
00495167,Walsrode-Westenholz,Niedersachsen,29664
00495168,Walsrode-Stellichte,Niedersachsen,NA
00495171,Peine,Niedersachsen,31224; 31226; 31228
00495172,Ilsede,Niedersachsen,31241
00495173,Uetze,Niedersachsen,31311
00495174,Lahstedt,Niedersachsen,31246
00495175,Lehrte-Arpke,Niedersachsen,NA
00495176,Edemissen,Niedersachsen,31234
00495177,Edemissen-Abbensen,Niedersachsen,NA
00495181,Alfeld Leine,Niedersachsen,31061; 31087
00495182,Gronau Leine,Niedersachsen,31029; 31032; 31033; 31035; 31036; 31028; 31039
00495183,Lamspringe,Niedersachsen,31097; 31195; 31195; 31195; 31099
00495184,Freden Leine,Niedersachsen,31085; 31084; 31088
00495185,Duingen,Niedersachsen,31091; 31089; 31093; 31094; 31096
00495186,Salzhemmendorf-Wallensen,Niedersachsen,NA
00495187,Delligsen,Niedersachsen,31073; 31073
00495190,Soltau-Emmingen,Niedersachsen,NA
00495191,Soltau,Niedersachsen,29614
00495192,Munster,Niedersachsen,29633; 29643
00495193,Schneverdingen,Niedersachsen,29640
00495194,Bispingen,Niedersachsen,29646
00495195,Neuenkirchen b Soltau,Niedersachsen,NA
00495196,Wietzendorf,Niedersachsen,29649
00495197,Soltau-Frielingen,Niedersachsen,NA
00495198,Schneverdingen-Wintermoor,Niedersachsen,29640
00495199,Schneverdingen-Heber,Niedersachsen,NA
00495201,Halle Westf,Nordrhein-Westfalen,33790
00495202,Oerlinghausen,Nordrhein-Westfalen,33813
00495203,Werther Westf,Nordrhein-Westfalen,33824
00495204,Steinhagen Westf,Nordrhein-Westfalen,33803
00495205,Bielefeld-Sennestadt,Nordrhein-Westfalen,NA
00495206,Bielefeld-Jöllenbeck,Nordrhein-Westfalen,NA
00495207,Schloss Holte-Stukenbrock,Nordrhein-Westfalen,33758
00495208,Leopoldshöhe,Nordrhein-Westfalen,33818
00495209,Gütersloh-Friedrichsdorf,Nordrhein-Westfalen,NA
0049521,Bielefeld,Nordrhein-Westfalen,33602; 33604; 33605; 33607; 33609; 33611; 33613; 33615; 33617; 33619; 33647; 33649; 33659; 33689; 33699; 33719; 33729; 33739
00495221,Herford,Nordrhein-Westfalen,32049; 32051; 32052; 32120
00495222,Bad Salzuflen,Nordrhein-Westfalen,32105; 32107; 32108
00495223,Bünde,Nordrhein-Westfalen,32257; 32278
00495224,Enger Westf,Nordrhein-Westfalen,32130
00495225,Spenge,Nordrhein-Westfalen,32139
00495226,Bruchmühlen Westf,Nordrhein-Westfalen,NA
00495228,Vlotho-Exter,Nordrhein-Westfalen,NA
00495231,Detmold,Nordrhein-Westfalen,32756; 32758; 32760
00495232,Lage Lippe,Nordrhein-Westfalen,32791
00495233,Steinheim Westf,Nordrhein-Westfalen,32839
00495234,Horn-Bad Meinberg,Nordrhein-Westfalen,32805
00495235,Blomberg Lippe,Nordrhein-Westfalen,32825
00495236,Blomberg-Grossenmarpe,Nordrhein-Westfalen,NA
00495237,Augustdorf,Nordrhein-Westfalen,32832
00495238,Nieheim-Himmighausen,Nordrhein-Westfalen,NA
00495241,Gütersloh,Nordrhein-Westfalen,33330; 33332; 33334; 33335
00495242,Rheda-Wiedenbrück,Nordrhein-Westfalen,33378
00495244,Rietberg,Nordrhein-Westfalen,33397
00495245,Herzebrock-Clarholz,Nordrhein-Westfalen,33442
00495246,Verl,Nordrhein-Westfalen,33415
00495247,Harsewinkel,Nordrhein-Westfalen,33428; 33428
00495248,Langenberg Kr Gütersloh,Nordrhein-Westfalen,33449
00495250,Delbrück Westf,Nordrhein-Westfalen,33129
00495251,Paderborn,Nordrhein-Westfalen,33178; 33098; 33100; 33102; 33104; 33106; 33154; 33161
00495252,Bad Lippspringe,Nordrhein-Westfalen,33175; 33189
00495253,Bad Driburg,Nordrhein-Westfalen,33014
00495254,Paderborn-Schloss Neuhaus,Nordrhein-Westfalen,NA
00495255,Altenbeken,Nordrhein-Westfalen,33184
00495257,Hövelhof,Nordrhein-Westfalen,33161
00495258,Salzkotten,Nordrhein-Westfalen,33154
00495259,Bad Driburg-Neuenheerse,Nordrhein-Westfalen,NA
00495261,Lemgo,Nordrhein-Westfalen,32657
00495262,Extertal,Nordrhein-Westfalen,32699
00495263,Barntrup,Nordrhein-Westfalen,32683
00495264,Kalletal,Nordrhein-Westfalen,32689
00495265,Dörentrup,Nordrhein-Westfalen,32694
00495266,Lemgo-Kirchheide,Nordrhein-Westfalen,NA
00495271,Höxter,Nordrhein-Westfalen,37691; 37699; 37671
00495272,Brakel Westf,Nordrhein-Westfalen,33034
00495273,Beverungen,Nordrhein-Westfalen,37688; 37691; 37697
00495274,Nieheim,Nordrhein-Westfalen,33039
00495275,Höxter-Ottbergen,Nordrhein-Westfalen,NA
00495276,Marienmünster,Nordrhein-Westfalen,37696
00495277,Höxter-Fürstenau,Nordrhein-Westfalen,NA
00495278,Höxter-Ovenhausen,Nordrhein-Westfalen,NA
00495281,Bad Pyrmont,Niedersachsen,31812
00495282,Schieder-Schwalenberg,Nordrhein-Westfalen,32816
00495283,Lügde-Rischenau,Nordrhein-Westfalen,32676
00495284,Schwalenberg,Nordrhein-Westfalen,NA
00495285,Bad Pyrmont-Kleinenberg,Nordrhein-Westfalen,NA
00495286,Ottenstein Niedersachs,Niedersachsen,31868
00495292,Lichtenau-Atteln,Nordrhein-Westfalen,NA
00495293,Paderborn-Dahl,Nordrhein-Westfalen,NA
00495294,Hövelhof-Espeln,Nordrhein-Westfalen,NA
00495295,Lichtenau Westf,Nordrhein-Westfalen,33165
00495300,Salzgitter-Üfingen,Niedersachsen,NA
00495301,Lehre-Essenrode,Niedersachsen,NA
00495302,Vechelde,Niedersachsen,38159
00495303,Wendeburg,Niedersachsen,38179; 38176
00495304,Meine,Niedersachsen,38528; 38527; 38531; 38533
00495305,Sickte,Niedersachsen,38173; 38173; 38173; 38173
00495306,Cremlingen,Niedersachsen,38162
00495307,Braunschweig-Wenden,Niedersachsen,NA
00495308,Lehre,Niedersachsen,38165
00495309,Lehre-Wendhausen,Niedersachsen,NA
0049531,Braunschweig,Niedersachsen,38100; 38102; 38104; 38106; 38108; 38110; 38112; 38114; 38116; 38118; 38120; 38122; 38124; 38126
00495320,Torfhaus,Niedersachsen,38667
00495321,Goslar,Niedersachsen,38640; 38642; 38644
00495322,Bad Harzburg,Niedersachsen,38667
00495323,Clausthal-Zellerfeld,Niedersachsen,38678; 38678; 38709
00495324,Vienenburg,Niedersachsen,38690
00495325,Goslar-Hahnenklee,Niedersachsen,NA
00495326,Langelsheim,Niedersachsen,38685
00495327,Bad Grund Harz,Niedersachsen,37539; 37534; 37539
00495328,Altenau Harz,Niedersachsen,38707
00495329,Schulenberg im Oberharz,Niedersachsen,38707
00495331,Wolfenbüttel,Niedersachsen,38300; 38302; 38304
00495332,Schöppenstedt,Niedersachsen,38154; 38170; 38154; 38170; 38170; 38170
00495333,Dettum,Niedersachsen,38173; 38173; 38170
00495334,Hornburg Kr Wolfenbüttel,Niedersachsen,38312; 38312; 38312; 38315
00495335,Schladen,Niedersachsen,38315; 38315
00495336,Semmenstedt,Niedersachsen,38322; 38325; 38327; 38170
00495337,Kissenbrück,Niedersachsen,38321; 38312; 38324; 38312; 38319; 38329
00495339,Gielde,Niedersachsen,38315
00495341,Salzgitter,Niedersachsen,38312; 38312; 38275; 38226; 38228; 38229; 38239; 38259; 38279
00495344,Lengede,Niedersachsen,38268
00495345,Baddeckenstedt,Niedersachsen,38271; 38274; 38277
00495346,Liebenburg,Niedersachsen,38704
00495347,Burgdorf b Salzgitter,Niedersachsen,38272
00495351,Helmstedt,Niedersachsen,38350
00495352,Schöningen,Niedersachsen,38372; 38364
00495353,Königslutter am Elm,Niedersachsen,38154
00495354,Jerxheim,Niedersachsen,38382; 38384; 38385; 38381; 38387; 38388
00495355,Frellstedt,Niedersachsen,38350; 38373; 38350; 38375; 38350; 38373; 38376; 38378; 38379
00495356,Helmstedt-Barmke,Niedersachsen,38368
00495357,Grasleben,Niedersachsen,38368
00495358,Bahrdorf-Mackendorf,Niedersachsen,38459; 38368
00495361,Wolfsburg,Niedersachsen,38440; 38442; 38444; 38446; 38448
00495362,Wolfsburg-Fallersleben,Niedersachsen,38557
00495363,Wolfsburg-Vorsfelde,Niedersachsen,NA
00495364,Velpke,Niedersachsen,38461; 38462; 38458
00495365,Wolfsburg-Neindorf,Niedersachsen,38464; 38368
00495366,Jembke,Niedersachsen,38476; 38556; 38477; 38479; 38473; 38554
00495367,Rühen,Niedersachsen,38471
00495368,Parsau,Niedersachsen,38467; 38470
00495371,Gifhorn,Niedersachsen,38518; 38524
00495372,Meinersen,Niedersachsen,38536
00495373,Hillerse Kr Gifhorn,Niedersachsen,38551; 38530; 38543; 38542
00495374,Isenbüttel,Niedersachsen,38547; 38550; 38551; 38553
00495375,Müden Aller,Niedersachsen,38539
00495376,Wesendorf Kr Gifhorn,Niedersachsen,38559; 38559; 29392
00495377,Ehra-Lessien,Niedersachsen,38468
00495378,Sassenburg-Platendorf,Niedersachsen,NA
00495379,Sassenburg-Grussendorf,Niedersachsen,NA
00495381,Seesen,Niedersachsen,38723
00495382,Bad Gandersheim,Niedersachsen,37581
00495383,Lutter am Barenberge,Niedersachsen,38729; 38729; 38729
00495384,Seesen-Groß Rhüden,Niedersachsen,NA
00495401,Georgsmarienhütte,Niedersachsen,49124; 49170
00495402,Bissendorf Kr Osnabrück,Niedersachsen,49143
00495403,Bad Iburg,Niedersachsen,49186
00495404,Westerkappeln,Nordrhein-Westfalen,49504; 49492
00495405,Hasbergen Kr Osnabrück,Niedersachsen,49205
00495406,Belm,Niedersachsen,49191
00495407,Wallenhorst,Niedersachsen,49134
00495409,Hilter am Teutoburger Wald,Niedersachsen,49176
0049541,Osnabrück,Niedersachsen,49074; 49076; 49078; 49080; 49082; 49084; 49086; 49088; 49090
00495421,Dissen am Teutoburger Wald,Niedersachsen,49201
00495422,Melle,Niedersachsen,49324; 49326; 49328
00495423,Versmold,Nordrhein-Westfalen,33775
00495424,Bad Rothenfelde,Niedersachsen,49196; 49214
00495425,Borgholzhausen,Nordrhein-Westfalen,33829
00495426,Glandorf,Niedersachsen,49219
00495427,Melle-Buer,Niedersachsen,NA
00495428,Melle-Neuenkirchen,Niedersachsen,NA
00495429,Melle-Wellingholzhausen,Niedersachsen,NA
00495431,Quakenbrück,Niedersachsen,49610
00495432,Löningen,Niedersachsen,49624
00495433,Badbergen,Niedersachsen,49635
00495434,Essen Oldenburg,Niedersachsen,49632
00495435,Berge b Quakenbrück,Niedersachsen,49626; 49626
00495436,Nortrup,Niedersachsen,49577; 49638
00495437,Menslage,Niedersachsen,49637
00495438,Bakum-Lüsche,Niedersachsen,NA
00495439,Bersenbrück,Niedersachsen,49593; 49596
00495441,Diepholz,Niedersachsen,49356
